cnes;municipality_code;uf;health_region_code;health_region_id;source_file
0429511;120040;AC;;;STAC2101.dbf
0440574;120040;AC;;;STAC2101.dbf
0447994;120040;AC;;;STAC2101.dbf
0448028;120040;AC;;;STAC2101.dbf
0479853;120040;AC;;;STAC2101.dbf
0479861;120040;AC;;;STAC2101.dbf
0479888;120040;AC;;;STAC2101.dbf
0479918;120040;AC;;;STAC2101.dbf
0479926;120040;AC;;;STAC2101.dbf
0479934;120040;AC;;;STAC2101.dbf
0479942;120040;AC;;;STAC2101.dbf
0479950;120040;AC;;;STAC2101.dbf
0479969;120040;AC;;;STAC2101.dbf
0479977;120040;AC;;;STAC2101.dbf
0487635;120040;AC;0001;AC-0001;STAC2101.dbf
0492051;120040;AC;;;STAC2101.dbf
0499129;120040;AC;;;STAC2101.dbf
0503312;120040;AC;;;STAC2101.dbf
2000075;120040;AC;0001;AC-0001;STAC2101.dbf
2000377;120040;AC;0001;AC-0001;STAC2101.dbf
2000385;120040;AC;0001;AC-0001;STAC2101.dbf
2000415;120040;AC;;;STAC2101.dbf
2000423;120040;AC;0001;AC-0001;STAC2101.dbf
2000431;120040;AC;;;STAC2101.dbf
2000458;120040;AC;0001;AC-0001;STAC2101.dbf
2000466;120040;AC;0001;AC-0001;STAC2101.dbf
2000482;120040;AC;;;STAC2101.dbf
2000490;120040;AC;;;STAC2101.dbf
2000512;120040;AC;0001;AC-0001;STAC2101.dbf
2000520;120040;AC;0001;AC-0001;STAC2101.dbf
2000733;120040;AC;0001;AC-0001;STAC2101.dbf
2000741;120040;AC;0001;AC-0001;STAC2101.dbf
2000806;120040;AC;0001;AC-0001;STAC2101.dbf
2000814;120040;AC;;;STAC2101.dbf
2000830;120040;AC;0001;AC-0001;STAC2101.dbf
2000857;120040;AC;0001;AC-0001;STAC2101.dbf
2001012;120040;AC;0001;AC-0001;STAC2101.dbf
2001063;120040;AC;0001;AC-0001;STAC2101.dbf
2001306;120040;AC;0001;AC-0001;STAC2101.dbf
2001527;120040;AC;0001;AC-0001;STAC2101.dbf
2001578;120040;AC;0001;AC-0001;STAC2101.dbf
2001586;120040;AC;0001;AC-0001;STAC2101.dbf
2001624;120040;AC;;;STAC2101.dbf
2001659;120040;AC;;;STAC2101.dbf
2001667;120040;AC;;;STAC2101.dbf
2001675;120040;AC;;;STAC2101.dbf
2001683;120040;AC;;;STAC2101.dbf
2001691;120040;AC;;;STAC2101.dbf
