distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
25.0,municipality:430537,Charrua - RS,430537,RS-0011,66.0,4,facility:2707918,FUNDACAO HOSPITALAR SANTA TEREZINHA DE ERECHIM,33.0,0.5,28.0,0.424242,0.0,0.0,48.886987,54.145828
25.0,municipality:353650,Paulínia - SP,353650,SP-0207,66.0,7,facility:2704900,HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROV DE DEUS,16.0,0.242424,28.0,0.424242,0.0,0.0,81.570995,159.458537
25.0,municipality:432035,Sentinela do Sul - RS,432035,RS-0002,283.0,8,facility:2257548,HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA,163.0,0.575972,120.0,0.424028,0.0,0.0,51.445828,80.849332
25.0,municipality:431000,Ibirubá - RS,431000,RS-0009,309.0,9,facility:2263858,HOSPITAL DE CARIDADE SAO VICENTE DE PAULO,153.0,0.495146,131.0,0.423948,0.0,0.0,72.283983,251.181991
25.0,municipality:261260,Santa Maria da Boa Vista - PE,261260,PE-0008,1081.0,18,facility:2430711,HOSPITAL DOM MALAN,366.0,0.338575,458.0,0.423682,322.0,0.297872,140.116961,558.446417
25.0,municipality:354600,Santa Branca - SP,354600,SP-0217,90.0,8,facility:5869412,HOSPITAL GACC VALE DO PARAIBA,16.0,0.177778,38.0,0.422222,0.0,0.0,40.079054,73.788538
25.0,municipality:260800,Jataúba - PE,260800,PE-0004,590.0,19,facility:7498810,HOSPITAL MESTRE VITALINO,159.0,0.269492,249.0,0.422034,15.0,0.025424,110.287406,182.825977
25.0,municipality:210237,Cachoeira Grande - MA,210237,MA-0002,332.0,12,facility:6871747,HOSPITAL REGIONAL DE MORROS,185.0,0.557229,140.0,0.421687,0.0,0.0,52.808912,129.313525
25.0,municipality:316370,São Lourenço - MG,316370,MG-0011,287.0,20,facility:2761092,HOSPITAL BOM PASTOR,117.0,0.407666,121.0,0.421603,40.0,0.139373,333.079064,1903.258773
25.0,municipality:313865,Lontra - MG,313865,MG-0030,389.0,9,facility:2119420,HOSPITAL MUNICIPAL SENHORA SANTANA,154.0,0.395887,164.0,0.421594,0.0,0.0,77.917274,459.933142
