node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level;is_public_hospital;analysis_scope;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital_ref;coordinate_source;name_source;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0010502;facility;HRS;530010;-15.648370437680098;-47.79267311096192;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;12539.0;392.0;1016.0;3.0;12539.0;10103723.06;O;3;03;33.483;5.345;0.031262;0.081027;1.0;805.78
facility:0010510;facility;HOSPITAL UNIVERSITARIO DE BRASILIA;530010;-15.771480871463751;-47.873783111572266;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;11170.0;339.0;251.0;2.0;11170.0;15426309.37;O;3;99;39.732;5.096;0.030349;0.022471;1.0;1381.05
facility:0010529;facility;HRPL;530010;-15.624917329234314;-47.652747631073;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;13316.0;375.0;1261.0;2.0;13316.0;6987482.48;O;3;03;35.46;3.168;0.028162;0.094698;1.0;524.74
facility:0010537;facility;HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA;530010;-15.824457;-47.8972328415664;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;17621.0;109.0;760.0;2.0;17621.0;13438762.52;O;3;99;15.403;3.637;0.006186;0.04313;1.0;762.66
facility:0010545;facility;HRBZ;530010;-15.67514708650334;-48.203630447387695;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;5186.0;96.0;205.0;3.0;5186.0;2163300.04;O;3;99;28.692;5.114;0.018511;0.03953;1.0;417.14
facility:0010596;facility;CNES 0010596 (Brasília - DF);530010;-15.781172363612123;-47.7968439416826;;;True;included;1;0;1;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0010618;facility;HOSPITAL SAO VICENTE DE PAULO HSVP;530010;-15.836569109120648;-48.05992841720581;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0011738;facility;HOSPITAL SANTA RITA DE CASSIA;320530;-20.297499;-40.3171414;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7233.0;797.0;121.0;3.0;7233.0;17111707.13;C;3;03;59.179;4.3;0.110189;0.016729;1.0;2365.78
facility:0011746;facility;HOSPITAL DA SANTA CASA DE MISERICORDIA DE VITORIA;320530;-20.3113452;-40.2986506;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;10756.0;477.0;181.0;2.0;10756.0;20430429.53;C;3;03;55.066;3.843;0.044347;0.016828;1.0;1899.44
facility:0011800;facility;HOSPITAL INFANTIL NOSSA SENHORA DA GLORIA;320530;-20.307553;-40.2997894;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;6050.0;95.0;228.0;4.0;6050.0;8667644.35;J;1;03;7.364;7.134;0.015702;0.037686;1.0;1432.67
