facility_node_id;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:2016915;6;0;0;2.0;6;2134.2;O;3;03;19.667;1.833;0.0;0.0;1.0;355.7
facility:2016923;5213;286;478;2.0;5213;3650898.59;O;3;03;32.66;3.617;0.054863;0.091694;1.0;700.35
facility:2016974;1399;24;65;3.5;1399;696037.66;O;3;99;31.029;3.3;0.017155;0.046462;1.0;497.53
facility:2017016;2265;40;98;2.0;2265;1281615.55;O;3;03;31.011;3.212;0.01766;0.043267;1.0;565.83
facility:2017318;4852;12;379;3.0;4852;3433694.36;O;3;03;21.935;3.46;0.002473;0.078112;1.0;707.69
facility:2017431;2757;62;80;4.0;2757;5716255.9;J;1;99;6.136;8.433;0.022488;0.029017;1.0;2073.36
facility:2017555;1470;45;70;2.0;1470;1051518.13;O;3;99;34.105;3.01;0.030612;0.047619;1.0;715.32
facility:2017644;3668;210;28;3.5;3668;7993202.8;K;3;03;48.309;7.664;0.057252;0.007634;1.0;2179.17
facility:2017652;1165;43;40;2.0;1165;693705.19;O;3;03;35.475;2.488;0.03691;0.034335;1.0;595.46
facility:2017660;478;4;19;2.0;478;178295.82;O;3;03;26.969;2.222;0.008368;0.039749;1.0;373.0
facility:2017679;429;0;0;3.0;429;146464.47;A;3;03;29.748;2.853;0.0;0.0;1.0;341.41
facility:2017717;1473;31;76;2.0;1473;765217.97;O;3;99;29.98;2.752;0.021045;0.051595;1.0;519.5
facility:2017768;486;8;25;3.5;486;252587.19;O;3;03;31.549;4.286;0.016461;0.05144;1.0;519.73
facility:2017849;1672;12;8;2.25;1672;1139591.61;J;1;03;5.031;4.337;0.007177;0.004785;1.0;681.57
facility:2017997;404;0;76;2.0;404;271997.69;B;3;03;32.95;3.312;0.0;0.188119;1.0;673.26
facility:2018071;3585;42;813;2.5;3585;3281173.34;J;1;03;5.845;4.298;0.011715;0.226778;1.0;915.25
facility:2018098;60;12;2;9.0;60;525907.1;B;3;03;58.25;11.85;0.2;0.033333;1.0;8765.12
facility:2018101;818;4;134;18.75;818;497869.83;E;1;03;56.093;18.522;0.00489;0.163814;1.0;608.64
facility:2018128;1610;43;169;3.0;1610;797377.79;O;3;05;31.725;3.078;0.026708;0.104969;1.0;495.27
facility:2018136;3877;181;157;2.0;3877;2222287.12;O;3;03;30.963;3.144;0.046686;0.040495;1.0;573.2
facility:2018144;3412;107;142;2.0;3412;2099183.78;O;3;03;33.428;2.817;0.03136;0.041618;1.0;615.24
facility:2018381;636;14;53;3.0;636;289429.12;O;3;03;28.811;3.623;0.022013;0.083333;1.0;455.08
facility:2018403;3055;194;271;6.0;3055;16560621.99;I;1;03;51.694;9.589;0.063502;0.088707;1.0;5420.83
facility:2018969;61;0;0;1.0;61;119802.97;H;3;03;63.59;1.295;0.0;0.0;1.0;1963.98
facility:2019523;1090;34;153;2.0;1090;564427.65;O;3;03;34.632;2.721;0.031193;0.140367;1.0;517.82
facility:2019558;6550;65;94;4.0;6550;7636105.04;O;3;03;21.662;5.862;0.009924;0.014351;1.0;1165.82
facility:2019566;2294;75;191;3.0;2294;1373474.48;O;3;03;29.427;3.462;0.032694;0.083261;1.0;598.72
facility:2019574;5823;834;788;5.0;5823;9032064.83;S;1;99;51.493;8.355;0.143225;0.135325;1.0;1551.1
facility:2019604;789;5;26;3.0;789;298286.39;O;3;03;32.068;2.833;0.006337;0.032953;1.0;378.06
facility:2019647;2207;48;199;5.0;2207;1679664.71;J;1;99;4.485;6.969;0.021749;0.090168;1.0;761.06
facility:2019663;13;0;0;2.0;13;4405.02;L;3;99;19.385;2.538;0.0;0.0;1.0;338.85
facility:2019671;148;0;10;1.5;148;59860.05;O;3;03;23.209;1.561;0.0;0.067568;1.0;404.46
facility:2019701;189;4;17;2.0;189;75067.62;O;3;03;33.905;2.413;0.021164;0.089947;1.0;397.18
facility:2019728;209;0;19;1.5;209;73282.39;O;3;03;32.01;2.201;0.0;0.090909;1.0;350.63
facility:2019736;195;0;9;1.0;195;66683.56;N;3;99;31.974;2.113;0.0;0.046154;1.0;341.97
facility:2020068;13206;149;14;2.0;13206;11473359.27;O;3;99;23.279;4.041;0.011283;0.00106;1.0;868.8
facility:2020076;4775;197;605;2.0;4775;2315078.24;O;3;03;37.838;3.312;0.041257;0.126702;1.0;484.83
facility:2020165;92;1;14;3.0;92;30729.29;O;1;99;34.826;3.207;0.01087;0.152174;1.0;334.01
facility:2020645;2889;252;8;6.0;2889;3339119.15;C;1;03;49.683;10.224;0.087227;0.002769;1.0;1155.8
facility:2020653;2672;245;495;6.0;2672;2491713.83;I;1;99;51.562;8.865;0.091692;0.185254;1.0;932.53
facility:2020890;4700;28;40;2.0;4700;6377300.73;O;3;03;33.838;3.361;0.005957;0.008511;1.0;1356.87
facility:2021064;3137;92;69;3.0;3137;1538490.07;O;3;03;24.415;3.953;0.029327;0.021996;1.0;490.43
facility:2021218;139;1;7;2.0;139;70502.12;O;3;99;36.209;2.281;0.007194;0.05036;1.0;507.21
facility:2021382;13;0;0;1.75;13;4279.39;J;3;03;39.385;1.846;0.0;0.0;1.0;329.18
facility:2021463;2145;44;75;2.0;2145;1142021.76;O;3;99;27.276;2.95;0.020513;0.034965;1.0;532.41
facility:2022621;7816;40;5;2.0;7816;7828126.85;O;3;01;24.527;3.607;0.005118;0.00064;1.0;1001.55
facility:2022648;2340;528;47;6.0;2340;12793352.04;B;1;99;59.585;9.742;0.225641;0.020085;1.0;5467.24
facility:2023016;2660;150;206;3.0;2660;4012671.36;B;3;01;48.439;3.918;0.056391;0.077444;1.0;1508.52
facility:2023474;2900;277;112;2.25;2900;7614543.93;O;3;03;42.803;5.071;0.095517;0.038621;1.0;2625.7
facility:2023709;4486;210;35;2.0;4486;5158190.49;O;3;01;41.505;3.247;0.046812;0.007802;1.0;1149.84
